,Textbox6,CardCode,CardName,Branch,Account,Currency,FCOpeningBalance,OpeningBalance,FCOpeningBalance1,OpeningBalance1,FCDebit,Debit,FCCredit1,Credit,FCOpeningBalance4,OpeningBalance4,FCOpeningBalance5,OpeningBalance5,OpeningBalance2,OpeningBalance3,Debit1,Textbox56,OpeningBalance6,Textbox64
242,45,VDP10103,(HD)CONG TY TNHH DUOC PHAM QUANG DIEN,All,33110100,VND,,,,,,,,"5,130,000.0000",,,-,"5,130,000.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
243,46,VDP10104,CHI NHANH CONG TY TNHH MEGA LIFESCIENCES(VIET NAM) TAI HA NOI,All,33110100,VND,,,,,,,,"19,788,540.0000",,,-,"19,788,540.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
244,47,VDP10105,CHI NHANH CONG TY TNHH MEGA LIFESCIENCES(VIET NAM) TAI DA NANG,All,33110100,VND,,,,,,,,"29,968,320.0000",,,-,"29,968,320.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
245,48,VDP10106,CONG TY CO PHAN DUOC PHAM TRUNG UONG CPC1 - CHI NHANH THANH PHO HO CHI MINH,All,33110100,VND,,,,,,,,"18,995,724.0000",,,-,"18,995,724.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
246,49,VDP20001,HYPHENS PHARMA PTE.LTD,All,33110200,EUR,,,"3,007,176.2200","79,513,731,661.4580","1,458,929.0700","38,153,654,001.1425","1,085,951.4800","28,751,181,938.0000",,,"2,634,198.6300","70,111,259,598.3155",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
247,50,VDP20001,HYPHENS PHARMA PTE.LTD,All,33110200,USD,,,"454,131.9700","10,625,469,925.1730","115,313.1600","2,690,176,102.1133","32,906.1100","782,331,411.6000",,,"371,724.9200","8,717,625,234.6597",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
248,51,VDP20001,HYPHENS PHARMA PTE.LTD,All,33110200,VND,,"(208,646,132.5596)",,,,"71,522,653.3978",,"3,017,981.8357",,"277,150,804.1217",-,-,-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
249,52,VDP20002,DAEWOONG BIO INC.,All,33110200,USD,,,"69,490.0000","1,617,240,770.0000",,,,,,,"69,490.0000","1,617,240,770.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
250,53,VDP20003,SAVA HEALTHCARE LTD.,All,33110200,USD,,,"18,461.6700","420,226,209.5000",,,,,,,"18,461.6700","420,226,209.5000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
251,54,VDP20004,HOE PHARMACEUTICALS SDN BHD,All,33110200,USD,,,"790,423.5900","18,380,067,071.4846",,,,,,,"790,423.5900","18,380,067,071.4846",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
252,55,VDP20004,HOE PHARMACEUTICALS SDN BHD,All,33110200,VND,,"(12,658,685.9846)",,,,,,,,"12,658,685.9846",-,-,-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
253,56,VDP20005,PHARMASCIENCE INC,All,33110200,USD,,,"772,188.5400","17,966,423,451.6600","97,873.7600","2,280,593,546.8200","72,680.0000","1,722,516,000.0000",,,"746,994.7800","17,408,345,904.8400",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
254,57,VDP20007,GETZ PHARMA (PVT) LIMITED,All,33110200,USD,,,"403,206.8600","9,415,052,941.8200","86,753.1600","2,023,169,038.5800","256,909.1900","6,053,579,084.0000",,,"573,362.8900","13,445,462,987.2400",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
255,58,VDP20007,GETZ PHARMA (PVT) LIMITED,All,33110200,VND,,(0.2000),,,,,,,,0.2000,-,-,-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
256,59,VDP20013,WOERWAG PHARMA GMBH & CO. KG,All,33110200,EUR,,,"906,453.7400","23,482,833,908.4400","160,805.0800","4,210,486,250.4400","130,850.0000","3,363,368,400.0000",,,"876,498.6600","22,635,716,058.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
257,60,VDP20014,JW PHARMACEUTICAL CORPORATION,All,33110100,USD,,,"876,406.7000","20,445,476,415.0000","430,310.7000","10,028,585,652.0000","545,217.8000","12,866,705,198.0000",,,"991,313.8000","23,283,595,961.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
258,61,VDP20015,DAIICHI-SANKYO,All,33110100,USD,,,"1,688,916.9400","38,755,763,436.7000","20,213.5400","458,342,019.5000",,,,,"1,668,703.4000","38,297,421,417.2000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
259,62,VDP20017,NOVARTIS(SINGAPORE)PTE.LTD,All,33110200,USD,,,"890,836.5600","20,790,596,366.1300","417,140.1500","9,697,184,099.0500",,,,,"473,696.4100","11,093,412,267.0800",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
260,63,VDP20017,NOVARTIS(SINGAPORE)PTE.LTD,All,33110200,VND,,"(58,063,569.1300)",,,,"8,027,552.9500",,,,"66,091,122.0800",-,-,-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
261,64,VDP20019,MI PHARMA PRIVATE LIMITED,All,33110200,USD,"7,800.0000","(180,819,600.0000)",,,"26,835.6000","629,796,399.6000","46,332.0000","1,089,265,320.0000",,,"11,696.4000","278,649,320.4000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
262,65,VDP20022,"L.B.S LABORATORY LTD., PART",All,33110200,USD,,,"11,505.6000","261,004,536.0000",,,,,,,"11,505.6000","261,004,536.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
263,66,VDP20035,PT.DEXA MEDICA,All,33110200,USD,,,"51,143.4100","1,195,305,349.0000","12,643.0600","295,727,996.0000",,,,,"38,500.3500","899,577,353.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
264,67,VDP20035,PT.DEXA MEDICA,All,33110200,VND,,,,,,,,"212,718.6600",,,-,"212,718.6600",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
265,68,VDP20037,DR REDDY'S LABORATORIES LTD,All,33110200,USD,,,"2,289,966.0200","53,470,206,486.2700","422,708.2400","9,826,869,045.4600","437,712.9800","10,327,340,396.0000",,,"2,304,970.7600","53,970,677,836.8100",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
266,69,VDP20037,DR REDDY'S LABORATORIES LTD,All,33110200,VND,,"(2,909,680.0000)",,,,,,,,"2,909,680.0000",-,-,-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
267,70,VDP20038,AKUMS DRUGS & PHARMACEUTICALS LTD,All,33110200,USD,,,"1,337,424.8900","31,121,767,161.4300","259,417.7700","6,055,179,726.6937","610,510.9200","14,387,477,987.0000",,,"1,688,518.0400","39,454,065,421.7363",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
268,71,VDP20039,"CG BIO CO.,LTD",All,33110200,USD,,,"274,629.0000","6,390,484,022.0000",,,"31,400.0000","741,825,000.0000",,,"306,029.0000","7,132,309,022.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
269,72,VDP20040,DOUGLAS PHARMACEUTICALS LIMITED,All,33110200,USD,,,"99,936.0000","2,328,029,136.0000",,,,,,,"99,936.0000","2,328,029,136.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
270,73,VDP20041,ALLEVIARE LIFE SCIENCES LIMITED (ALSL),All,33110200,USD,,,"26,052.0000","607,246,068.0000","1,350.0000","32,008,500.0000","14,850.0000","352,093,500.0000",,,"39,552.0000","927,331,068.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
271,74,VHC20001,NRL,All,33110200,AUD,,,"15,278.2500","222,741,606.7500","15,278.2500","222,741,606.7500",,,,,-,-,-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
272,75,VMP20002,DR.WOLFF SINGAPORE PTE.LTD,All,33110200,SGD,,,"13,368.9600","224,748,098.1973",,,,,,,"13,368.9600","224,748,098.1973",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
273,76,VMP20002,DR.WOLFF SINGAPORE PTE.LTD,All,33110200,VND,,,,"625,829.8027",,,,,,,-,"625,829.8027",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
274,77,VOT10001,CONG TY TNHH THUONG MAI VA DP SANG,All,33110100,VND,,,,"8,724,741,990.0000",,"9,516,304,889.0000",,"5,471,865,774.0000",,,-,"4,680,302,875.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
275,78,VOT10003,CTY TNHH RELIV PHARMA,All,33110100,VND,,,,"153,623,054.0000",,,,,,,-,"153,623,054.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
276,79,VOT10004,NHA CUNG CAP KHAC,All,33110100,VND,,,,"635,986.0000",,,,,,,-,"635,986.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
277,80,VOT10010,CHI NHANH CONG TY TNHH THUONG MAI VA DUOC PHAM SANG TAI HA NOI,All,33110100,VND,,,,"1,020,605,492.0000",,"972,018,068.0000",,"609,518,326.0000",,,-,"658,105,750.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
278,81,VOT10018,CHI NHANH CONG TY TNHH THUONG MAI VA DUOC PHAM SANG TAI DA NANG,All,33110100,VND,,"(31,740,225.0000)",,,,"117,083,168.0000",,"148,823,393.0000",,,-,-,-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
279,82,VOT10020,CTY TNHH RELIV HEALTHCARE,All,33110100,VND,,,,"355,206,600.0000",,,,,,,-,"355,206,600.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
280,83,VOT10021,(HD)CTY TNHH RELIV HEALTHCARE,All,33110100,VND,,,,"3,238,837,094.0000",,"1,639,589,760.0000",,"640,081,054.3900",,,-,"2,239,328,388.3900",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
281,84,VOT10022,CONG TY TNHH TATAVN,All,33110100,VND,,,,"14,300,000.0000",,,,,,,-,"14,300,000.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
282,85,VTB10003,CONG TY TNHH JOHNSON & JOHNSON(VIET NAM),All,33110100,VND,,,,"503,137,240.0000",,"503,137,240.0000",,"219,190,920.0000",,,-,"219,190,920.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
283,86,VTB20001,BOSTON SCIENTIFIC FAR EAST B.V,All,33110200,USD,,,"911,266.0000","21,180,538,151.1200","343,200.0000","7,973,193,300.0000","560,345.0000","13,212,963,600.0000",,,"1,128,411.0000","26,420,308,451.1200",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
284,87,VTB20001,BOSTON SCIENTIFIC FAR EAST B.V,All,33110200,VND,,,,"14,100.0000",,,,,,,-,"14,100.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
285,88,VTB20003,STRYKER EMEA SUPPLY CHAIN SERVICES BV,All,33110200,USD,,,"533,374.5600","12,532,789,669.0000",,,"40,982.0000","964,306,460.0000",,,"574,356.5600","13,497,096,129.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
286,89,VTB20007,BIOTECHNICA PHARMA INTERNATIONAL PTE.LTD,All,33110200,USD,,,"68,400.8200","1,565,683,027.1000",,,,,,,"68,400.8200","1,565,683,027.1000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
287,90,VTB20007,BIOTECHNICA PHARMA INTERNATIONAL PTE.LTD,All,33110200,VND,,,,"27,734,487.3000",,,,,,,-,"27,734,487.3000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
288,91,VTB20009,ABBOTT MEDICAL(SINGAPORE) PTE.LTD,All,33110200,USD,,,"130,135.0000","3,036,170,185.0000",,,"53,725.0000","1,264,740,225.0000",,,"183,860.0000","4,300,910,410.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
289,92,VTB20010,"CHAKSHU PTE., LTD",All,33110200,USD,,,"88,056.2300","2,047,366,216.0200",,,,,,,"88,056.2300","2,047,366,216.0200",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
290,93,VTP10002,CONG TY CO PHAN FRESENIUS KABI VIET NAM,All,33110100,VND,,,,"2,149,369,231.0000",,,,"3,635,537,897.0000",,,-,"5,784,907,128.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
291,94,VTP10006,CONG TY TNHH UNITED INTERNATIONAL PHARMA,All,33110100,VND,,,,"463,903,372.0000",,"263,976,183.0000",,"9,035,000.0000",,,-,"208,962,189.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
292,95,VTP10007,(HD)CONG TY TNHH EUROPA VILLAGE,All,33110100,VND,,,,"1,033,692,000.0000",,"8,929,800.0000",,,,,-,"1,024,762,200.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
293,96,VTP10008,CONG TY TNHH VE PHARMA(VIET NAM),All,33110100,VND,,,,"13,180,787,131.0000",,"1,748,202,176.7500",,,,,-,"11,432,584,954.2500",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
294,97,VTP20002,AJ RESEARCH & PHARMA SDN BHD,All,33110200,USD,,,"892,900.7900","20,794,267,012.1979",,,,,,,"892,900.7900","20,794,267,012.1979",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
295,98,VTP20003,VINTA PHARMA PTY. LTD.,All,33110200,AUD,,,"15,140.5900","265,060,284.0000",,,,,,,"15,140.5900","265,060,284.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
296,99,VTP20003,VINTA PHARMA PTY. LTD.,All,33110200,USD,"10,500.0000","(238,612,500.0000)",,,,,,,"10,500.0000","238,612,500.0000",-,-,-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
297,100,VTP20003,VINTA PHARMA PTY. LTD.,All,33110200,VND,,"(26,447,784.0000)",,,,,,,,"26,447,784.0000",-,-,-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
298,101,VTP20004,SUCCESS BRAND LTD,All,33110200,USD,,,"118,897.4100","2,766,713,792.0000",,,,,,,"118,897.4100","2,766,713,792.0000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
299,102,VVC20001,BHARAT SERUMS AND VACCINES LIMITED,All,33110200,USD,,,"96,533.3800","2,244,401,991.0000","13,671.6800","317,919,675.4000",,,,,"82,861.7000","1,926,482,315.6000",-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
300,103,VVT20004,ASCENSIA DIABETES CARE SINGAPORE PRIVATE LIMITED,All,33110200,SGD,,,"62,774.7600","1,068,300,866.0000","62,774.7600","1,068,300,866.0000",,,,,-,-,-,"473,384,405,061.4793","149,894,720,922.6473","140,736,671,525.4857",-,"464,226,355,664.3177"
301,1,VDP10001,CTY TNHH MTV DUOC SAI GON,All,33110100,VND,,,,"167,133,792.0000",,,,,,,-,"167,133,792.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
302,2,VDP10003,(VIMEDIMEX) CTY CP Y DUOC PHAM VIMEDIMEX,All,33110100,VND,,,,"30,009,112.8000",,,,,,,-,"30,009,112.8000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
303,3,VDP10009,CTY TNHH MOT THANH VIEN VIMEDIMEX BINH DUONG,All,33110100,VND,,,,"5,372,241,561.0000",,"7,946,792,077.0000",,"5,635,108,994.0000",,,-,"3,060,558,478.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
304,4,VDP10011,CONG TY CO PHAN DUOC PHAM OTSUKA VIET NAM,All,33110100,VND,,,,"170,352,009.0000",,"170,352,016.0000",,"186,732,015.0000",,,-,"186,732,008.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
305,5,VDP10012,CTY CO PHAN DUOC PHAM HIEP BACH NIEN,All,33110100,VND,,,,"502,501,486.0000",,,,,,,-,"502,501,486.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
306,6,VDP10013,CTY CO PHAN DUOC - THIET BI Y TE DA NANG,All,33110100,VND,,,,"108,492,398.0000",,"302,522,141.0000",,"588,732,719.0000",,,-,"394,702,976.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
307,7,VDP10014,CTY TNHH TM DUOC PHAM DAN THANH,All,33110100,VND,,,,,,"943,307,091.0000",,"943,307,091.0000",,,-,-,-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
308,8,VDP10015,CTY TNHH Y TE CANH CUA VIET,All,33110100,VND,,,,"2,517,500.0000",,,,,,,-,"2,517,500.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
309,9,VDP10022,CTY TNHH ROHTO MENTHOLATUM VIET NAM,All,33110100,VND,,,,"11,501,577,600.0000",,"30,574,250,836.0000",,"37,079,427,370.0000",,,-,"18,006,754,134.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
310,10,VDP10036,CONG TY CO PHAN TA DA PHARMA,All,33110100,VND,,,,"186,914,673.0000",,,,,,,-,"186,914,673.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
311,11,VDP10037,CHI NHANH CONG TY TNHH MOT THANH VIEN VIMEDIMEX BINH DUONG TAI HA NOI,All,33110100,VND,,,,"844,003,850.0000",,"1,311,635,913.0000",,"3,114,188,979.0000",,,-,"2,646,556,916.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
312,12,VDP10039,CONG TY TNHH MEGA LIFESCIENCES(VIET NAM),All,33110100,VND,,,,"127,290,030.0000",,,,"324,076,082.0000",,,-,"451,366,112.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
313,13,VDP10042,CONG TY TNHH DKSH VIET NAM,All,33110100,VND,,,,"21,025,546.0000",,"46,747,975.0000",,"31,963,901.0000",,,-,"6,241,472.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
314,14,VDP10043,CONG TY TNHH DUOC PHAM HUNG PHAT,All,33110100,VND,,,,"527,891,350.0000",,"48,581,502.0000",,"141,237,450.0000",,,-,"620,547,298.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
315,15,VDP10044,CONG TY TNHH TRUONG SON,All,33110100,VND,,,,"619,667,078.0000",,"4,615,000.0000",,"67,089,000.0000",,,-,"682,141,078.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
316,16,VDP10045,CONG TY TNHH LYNH FARMA,All,33110100,VND,,,,"1,631,540.0000",,,,,,,-,"1,631,540.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
317,17,VDP10054,(HD)CONG TY TNHH VIPAMED VIET NAM,All,33110100,VND,,,,"172,193,029.0000",,,,,,,-,"172,193,029.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
318,18,VDP10058,CONG TY CO PHAN DUOC PHAM PHUC NGUYEN,All,33110100,VND,,,,"35,493,192.0000",,,,,,,-,"35,493,192.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
319,19,VDP10063,CONG TY CO PHAN DUOC PHAM GOLDENLIFE,All,33110100,VND,,,,"706,596,051.0000",,"93,348,087.0000",,,,,-,"613,247,964.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
320,20,VDP10064,CONG TY TNHH P&T,All,33110100,VND,,,,"441,500,674.0000",,,,"3,325,000.0000",,,-,"444,825,674.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
321,21,VDP10065,CONG TY CO PHAN THUONG MAI DUOC PHAM PVN,All,33110100,VND,,,,"8,400,000.0000",,"8,400,000.0000",,,,,-,-,-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
322,22,VDP10066,CONG TY TNHH DUOC PHAM KIM CHAU,All,33110100,VND,,,,"43,969,051.0000",,,,,,,-,"43,969,051.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
323,23,VDP10070,CTY TNHH DUOC MY PHAM THAI NHAN,All,33110100,VND,,,,"298,878,930.0000",,,,,,,-,"298,878,930.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
324,24,VDP10073,CONG TY TNHH DUOC PHAM VA THIET BI Y TE ACA,All,33110100,VND,,,,"122,389,205.0000",,"49,158,749.0000",,"15,000,500.0000",,,-,"88,230,956.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
325,25,VDP10074,CONG TY TNHH DUOC PHAM VA TRANG THIET BI Y TE CT PHARMA,All,33110100,VND,,,,"871,825,764.0000",,"32,737,950.0000",,"22,675,370.0000",,,-,"861,763,184.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
326,26,VDP10075,CONG TY CO PHAN DUOC PHAM TAM PHUC VINH,All,33110100,VND,,,,"6,498,009.0000",,,,"7,201,961.0000",,,-,"13,699,970.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
327,27,VDP10076,CHI NHANH 1 - CONG TY TNHH THAI NAKORN PATANA (VIET NAM) TAI TPHCM,All,33110100,VND,,,,"263,969,543.0000",,"136,360,924.0000",,"15,114,431.0000",,,-,"142,723,050.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
328,28,VDP10080,CONG TY TNHH THAI NAKORN PATANA (VIET NAM),All,33110100,VND,,,,"21,344,715.0000",,,,,,,-,"21,344,715.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
329,29,VDP10082,CONG TY TNHH DUOC PHAM QUANG DIEN,All,33110100,VND,,,,"33,609,520.0000",,"5,624,002.0000",,"3,515,001.0000",,,-,"31,500,519.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
330,30,VDP10083,CONG TY TNHH THAI NAKORN PATANA-VIET NAM CHI NHANH TAI HA NOI,All,33110100,VND,,,,"64,707,187.0000",,"64,707,187.0000",,,,,-,-,-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
331,31,VDP10084,(HD)CONG TY TNHH DUOC PHAM VA THIET BI Y TE ACA,All,33110100,VND,,,,"702,567,522.0000",,,,"101,590,605.0000",,,-,"804,158,127.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
332,32,VDP10085,CONG TY TNHH DUOC PHAM LIEN HOP,All,33110100,VND,,,,"1,983,369,877.0000",,,,"87,552,002.0000",,,-,"2,070,921,879.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
333,33,VDP10086,(HD)CONG TY TNHH DUOC PHAM Y-MED,All,33110100,VND,,,,"82,695,596.0000",,,,,,,-,"82,695,596.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
334,34,VDP10087,(HD)CONG TY TNHH DUOC PHAM HUNG PHAT,All,33110100,VND,,,,"1,389,719,694.0000",,,,"215,760,388.0000",,,-,"1,605,480,082.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
335,35,VDP10088,(HD)CONG TY TNHH DUOC PHAM LIEN HOP,All,33110100,VND,,,,"1,276,495,008.0000",,,,,,,-,"1,276,495,008.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
336,36,VDP10089,(HD)CONG TY TNHH TRUONG SON,All,33110100,VND,,,,"478,242,009.0000",,,,"111,577,321.0000",,,-,"589,819,330.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
337,37,VDP10092,(HD)CONG TY CO PHAN DUOC PHAM TAM PHUC VINH,All,33110100,VND,,,,"91,353,449.0000",,,,"27,417,002.0000",,,-,"118,770,451.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
338,38,VDP10096,CONG TY CO PHAN DUOC PHAM THIEN DUOC,All,33110100,VND,,,,"636,982,169.0000",,"719,485,718.0000",,"1,908,034,428.0000",,,-,"1,825,530,879.0000",-,"464,226,355,664.3177","155,487,038,480.8301","191,423,914,827.3200",-,"500,163,232,010.8076"
